variant_id,positions_changed,num_words_changed,changes,euclidean_distance,cosine_similarity,cosine_distance,is_collision,is_near_collision
0,"[143, 7468]",2,"[{'position': 7468, 'original_word': 'mass', 'replacement_word': 'person'}, {'position': 143, 'original_word': 'families', 'replacement_word': 'good'}]",0.005013405,0.99998575,1.424551e-05,False,False
1,"[181, 1100]",2,"[{'position': 1100, 'original_word': 'is', 'replacement_word': 'has'}, {'position': 181, 'original_word': 'the', 'replacement_word': 'had'}]",0.0016199262,0.99999857,1.4305115e-06,False,False
2,"[302, 1767]",2,"[{'position': 302, 'original_word': 'representations', 'replacement_word': 'day'}, {'position': 1767, 'original_word': '50-email', 'replacement_word': 'will'}]",0.0440139,0.9989009,0.0010991096,False,False
3,"[348, 4443]",2,"[{'position': 4443, 'original_word': 'stitching,', 'replacement_word': 'long'}, {'position': 348, 'original_word': 'Documents', 'replacement_word': 'could'}]",0.033607416,0.99935794,0.00064206123,False,False
4,"[389, 8249]",2,"[{'position': 8249, 'original_word': 'vec2vec', 'replacement_word': 'hand'}, {'position': 389, 'original_word': 'discussing', 'replacement_word': 'were'}]",0.013722419,0.99989295,0.00010704994,False,False
5,"[435, 2462]",2,"[{'position': 435, 'original_word': 'structure', 'replacement_word': 'own'}, {'position': 2462, 'original_word': 'between', 'replacement_word': 'thing'}]",0.0028966574,0.9999951,4.887581e-06,False,False
6,"[538, 3530]",2,"[{'position': 3530, 'original_word': 'clipgra.', 'replacement_word': 'life'}, {'position': 538, 'original_word': 'space', 'replacement_word': 'in'}]",0.04411249,0.9988955,0.0011044741,False,False
7,"[546, 6288]",2,"[{'position': 6288, 'original_word': 'Wenting', 'replacement_word': 'but'}, {'position': 546, 'original_word': 'unsupervised', 'replacement_word': 'other'}]",0.046076804,0.9987957,0.0012043118,False,False
8,"[897, 5540]",2,"[{'position': 897, 'original_word': 'translated', 'replacement_word': 'other'}, {'position': 5540, 'original_word': 'Jégou,', 'replacement_word': 'time'}]",0.025264148,0.9996372,0.00036281347,False,False
9,"[1051, 6471]",2,"[{'position': 1051, 'original_word': 'd', 'replacement_word': 'world'}, {'position': 6471, 'original_word': ',', 'replacement_word': 'new'}]",0.0017386897,0.9999983,1.7285347e-06,False,False
10,"[1055, 4177]",2,"[{'position': 4177, 'original_word': 'The', 'replacement_word': 'person'}, {'position': 1055, 'original_word': 'ui=M1(di).', 'replacement_word': 'own'}]",0.027746199,0.9995624,0.0004376173,False,False
11,"[1144, 7196]",2,"[{'position': 1144, 'original_word': 'a', 'replacement_word': 'time'}, {'position': 7196, 'original_word': 'about', 'replacement_word': 'would'}]",0.0015214845,0.99999857,1.4305115e-06,False,False
12,"[483, 1461]",2,"[{'position': 483, 'original_word': 'data,', 'replacement_word': 'day'}, {'position': 1461, 'original_word': 'generator-specific', 'replacement_word': 'for'}]",0.04384357,0.99890935,0.0010906458,False,False
13,"[1282, 1659]",2,"[{'position': 1282, 'original_word': 'passed', 'replacement_word': 'thing'}, {'position': 1659, 'original_word': 'F1andF2:', 'replacement_word': 'first'}]",0.03190105,0.99942124,0.0005787611,False,False
14,"[1992, 8179]",2,"[{'position': 1992, 'original_word': 'by', 'replacement_word': 'life'}, {'position': 8179, 'original_word': '(0.0)', 'replacement_word': 'the'}]",0.0027350534,0.99999565,4.351139e-06,False,False
15,"[1855, 2240]",2,"[{'position': 2240, 'original_word': 'identify', 'replacement_word': 'for'}, {'position': 1855, 'original_word': '512', 'replacement_word': 'will'}]",0.038002092,0.9991788,0.0008211732,False,False
16,"[2369, 2720]",2,"[{'position': 2720, 'original_word': '0.00', 'replacement_word': 'are'}, {'position': 2369, 'original_word': '0.56', 'replacement_word': 'place'}]",0.0340547,0.999341,0.00065898895,False,False
17,"[948, 2437]",2,"[{'position': 948, 'original_word': 'viu', 'replacement_word': 'world'}, {'position': 2437, 'original_word': '0.90Difference', 'replacement_word': 'but'}]",0.032153424,0.99941206,0.0005879402,False,False
18,"[1112, 2465]",2,"[{'position': 1112, 'original_word': 'Representation', 'replacement_word': 'would'}, {'position': 2465, 'original_word': 'plots', 'replacement_word': 'first'}]",0.0018527913,0.9999981,1.9073486e-06,False,False
19,"[2791, 4805]",2,"[{'position': 4805, 'original_word': 'very)', 'replacement_word': 'last'}, {'position': 2791, 'original_word': '1.00', 'replacement_word': 'on'}]",0.033616822,0.9993575,0.00064247847,False,False
20,"[2899, 7881]",2,"[{'position': 7881, 'original_word': 'to', 'replacement_word': 'new'}, {'position': 2899, 'original_word': 'gtr', 'replacement_word': 'old'}]",0.038460307,0.9991591,0.0008409023,False,False
21,"[3170, 4144]",2,"[{'position': 4144, 'original_word': 'descriptions,', 'replacement_word': 'and'}, {'position': 3170, 'original_word': '(1.0)', 'replacement_word': 'new'}]",0.035325706,0.99929047,0.0007095337,False,False
22,"[3416, 7128]",2,"[{'position': 3416, 'original_word': '(drawn', 'replacement_word': 'thing'}, {'position': 7128, 'original_word': 'models.', 'replacement_word': 'could'}]",0.040509325,0.9990709,0.0009291172,False,False
23,"[737, 3668]",2,"[{'position': 737, 'original_word': 'do', 'replacement_word': 'other'}, {'position': 3668, 'original_word': 'M1M2', 'replacement_word': 'man'}]",0.03340456,0.9993657,0.00063431263,False,False
24,"[3681, 5226]",2,"[{'position': 3681, 'original_word': '0.30', 'replacement_word': 'good'}, {'position': 5226, 'original_word': '[8]', 'replacement_word': 'had'}]",0.037906766,0.99918294,0.00081706047,False,False
25,"[2650, 3901]",2,"[{'position': 2650, 'original_word': '(0.0)', 'replacement_word': 'way'}, {'position': 3901, 'original_word': 'to', 'replacement_word': 'thing'}]",0.02761168,0.9995666,0.00043338537,False,False
26,"[1525, 4125]",2,"[{'position': 1525, 'original_word': 'adversarial', 'replacement_word': 'way'}, {'position': 4125, 'original_word': 'records,', 'replacement_word': 'on'}]",0.036875438,0.9992269,0.00077307224,False,False
27,"[2845, 4412]",2,"[{'position': 4412, 'original_word': 'SVCCA,', 'replacement_word': 'was'}, {'position': 2845, 'original_word': '(9.2)', 'replacement_word': 'long'}]",0.028627459,0.999534,0.0004659891,False,False
28,"[4508, 5294]",2,"[{'position': 4508, 'original_word': 'and', 'replacement_word': 'in'}, {'position': 5294, 'original_word': 'Peng,', 'replacement_word': 'first'}]",0.03354831,0.9993601,0.00063991547,False,False
29,"[5201, 8182]",2,"[{'position': 5201, 'original_word': 'Milad', 'replacement_word': 'was'}, {'position': 8182, 'original_word': '(4.6)', 'replacement_word': 'is'}]",0.033671115,0.99935544,0.0006445646,False,False
30,"[2482, 5295]",2,"[{'position': 2482, 'original_word': '5vec2vec', 'replacement_word': 'place'}, {'position': 5295, 'original_word': 'Zekun', 'replacement_word': 'own'}]",0.026236556,0.99960876,0.0003912449,False,False
