variant_id,positions_changed,num_words_changed,changes,euclidean_distance,cosine_similarity,cosine_distance,is_collision,is_near_collision
0,"[302, 326, 581, 652, 1113, 1929, 2071, 2915, 3055, 4128, 4146, 4198, 4328, 4447, 5250, 5472, 6144, 6263, 6774, 6942, 7204, 7507, 7541, 7742, 7951, 8293, 8354, 8531]",28,"[{'position': 6144, 'original_word': 'World', 'replacement_word': 'hand'}, {'position': 5250, 'original_word': '.', 'replacement_word': 'with'}, {'position': 1929, 'original_word': 'and', 'replacement_word': 'but'}, {'position': 652, 'original_word': 'using', 'replacement_word': 'man'}, {'position': 7951, 'original_word': '3808.18', 'replacement_word': 'new'}, {'position': 2071, 'original_word': 'of', 'replacement_word': 'other'}, {'position': 6942, 'original_word': 'Sercan', 'replacement_word': 'man'}, {'position': 4128, 'original_word': 'much', 'replacement_word': 'last'}, {'position': 8354, 'original_word': 'ablated', 'replacement_word': 'for'}, {'position': 7204, 'original_word': 'evaluation.', 'replacement_word': 'great'}, {'position': 302, 'original_word': 'representations', 'replacement_word': 'would'}, {'position': 4146, 'original_word': 'few', 'replacement_word': 'could'}, {'position': 7742, 'original_word': '(0.0)', 'replacement_word': 'and'}, {'position': 581, 'original_word': 'embeddings', 'replacement_word': 'on'}, {'position': 326, 'original_word': 'Wool', 'replacement_word': 'great'}, {'position': 8531, 'original_word': 'gte', 'replacement_word': 'own'}, {'position': 7507, 'original_word': 'for', 'replacement_word': 'way'}, {'position': 1113, 'original_word': 'Hypothesis', 'replacement_word': 'life'}, {'position': 4447, 'original_word': 'and', 'replacement_word': 'would'}, {'position': 5472, 'original_word': 'Huh,', 'replacement_word': 'person'}, {'position': 2915, 'original_word': 'gte', 'replacement_word': 'or'}, {'position': 8293, 'original_word': '15', 'replacement_word': 'were'}, {'position': 4198, 'original_word': 'is', 'replacement_word': 'own'}, {'position': 4328, 'original_word': 'emails', 'replacement_word': 'old'}, {'position': 3055, 'original_word': '(0.7)', 'replacement_word': 'but'}, {'position': 7541, 'original_word': '415.61', 'replacement_word': 'is'}, {'position': 6774, 'original_word': 'Wang,', 'replacement_word': 'world'}, {'position': 6263, 'original_word': 'olodymyr', 'replacement_word': 'last'}]",0.04467265,0.9988658,0.0011342168,False,False
1,"[440, 792, 819, 1621, 1988, 2678, 2742, 3009, 3204, 3565, 3637, 3649, 3872, 4044, 4074, 4498, 4867, 5112, 5299, 5915, 5954, 6269, 7130, 7205, 7788, 7796, 7872, 8050]",28,"[{'position': 4867, 'original_word': 'and', 'replacement_word': 'or'}, {'position': 3204, 'original_word': 'gtr', 'replacement_word': 'hand'}, {'position': 4498, 'original_word': '[17,', 'replacement_word': 'or'}, {'position': 792, 'original_word': 'M2and', 'replacement_word': 'good'}, {'position': 5915, 'original_word': '“Sentence', 'replacement_word': 'have'}, {'position': 3872, 'original_word': 'and', 'replacement_word': 'in'}, {'position': 7205, 'original_word': '•Naive', 'replacement_word': 'little'}, {'position': 819, 'original_word': 'sets', 'replacement_word': 'old'}, {'position': 5299, 'original_word': 'Jinrong', 'replacement_word': 'good'}, {'position': 3637, 'original_word': 'baseline', 'replacement_word': 'are'}, {'position': 2742, 'original_word': '0.84', 'replacement_word': 'have'}, {'position': 440, 'original_word': 'sensitive', 'replacement_word': 'was'}, {'position': 7872, 'original_word': 'set', 'replacement_word': 'day'}, {'position': 3009, 'original_word': 'M1', 'replacement_word': 'day'}, {'position': 5954, 'original_word': 'Concepts?', 'replacement_word': 'is'}, {'position': 3649, 'original_word': 'best', 'replacement_word': 'first'}, {'position': 1988, 'original_word': '(unknown)', 'replacement_word': 'life'}, {'position': 4044, 'original_word': 'in-', 'replacement_word': 'life'}, {'position': 1621, 'original_word': 'space', 'replacement_word': 'has'}, {'position': 7130, 'original_word': 'a', 'replacement_word': 'new'}, {'position': 4074, 'original_word': 'vec2vec', 'replacement_word': 'on'}, {'position': 7788, 'original_word': 'e5gra.', 'replacement_word': 'will'}, {'position': 3565, 'original_word': '(0.0)', 'replacement_word': 'own'}, {'position': 8050, 'original_word': '0.73', 'replacement_word': 'good'}, {'position': 7796, 'original_word': '0.00', 'replacement_word': 'for'}, {'position': 2678, 'original_word': '0.98', 'replacement_word': 'time'}, {'position': 5112, 'original_word': 'Computational', 'replacement_word': 'on'}, {'position': 6269, 'original_word': 'M.', 'replacement_word': 'time'}]",0.04903927,0.99863285,0.0013671517,False,False
2,"[41, 150, 741, 1033, 1434, 1817, 1982, 2064, 2822, 3364, 4294, 4404, 4741, 4935, 4969, 5206, 5359, 5423, 5449, 5625, 5786, 5979, 6218, 6296, 6629, 7385, 7663, 8631]",28,"[{'position': 4741, 'original_word': 'that', 'replacement_word': 'last'}, {'position': 2822, 'original_word': '0.98', 'replacement_word': 'with'}, {'position': 1033, 'original_word': 'assume', 'replacement_word': 'time'}, {'position': 2064, 'original_word': 'top-1', 'replacement_word': 'old'}, {'position': 150, 'original_word': '[32])', 'replacement_word': 'thing'}, {'position': 6296, 'original_word': 'Alexander', 'replacement_word': 'time'}, {'position': 1817, 'original_word': 'Year', 'replacement_word': 'life'}, {'position': 1434, 'original_word': 'to', 'replacement_word': 'great'}, {'position': 5786, 'original_word': 'Nenkova,', 'replacement_word': 'good'}, {'position': 3364, 'original_word': 'ground', 'replacement_word': 'with'}, {'position': 41, 'original_word': 'without', 'replacement_word': 'time'}, {'position': 5423, 'original_word': 'Christoph', 'replacement_word': 'thing'}, {'position': 4404, 'original_word': '18,', 'replacement_word': 'world'}, {'position': 8631, 'original_word': 'Even', 'replacement_word': 'in'}, {'position': 1982, 'original_word': 'F∗(ui),', 'replacement_word': 'place'}, {'position': 4294, 'original_word': 'and', 'replacement_word': 'the'}, {'position': 4935, 'original_word': 'lower', 'replacement_word': 'little'}, {'position': 5449, 'original_word': '2953–2969.', 'replacement_word': 'the'}, {'position': 6218, 'original_word': 'and', 'replacement_word': 'in'}, {'position': 5206, 'original_word': 'Yona,', 'replacement_word': 'with'}, {'position': 7385, 'original_word': 'For', 'replacement_word': 'could'}, {'position': 5979, 'original_word': 'Hod', 'replacement_word': 'to'}, {'position': 741, 'original_word': 'a', 'replacement_word': 'new'}, {'position': 6629, 'original_word': '2025.', 'replacement_word': 'first'}, {'position': 4969, 'original_word': 'research', 'replacement_word': 'other'}, {'position': 5359, 'original_word': '.', 'replacement_word': 'time'}, {'position': 7663, 'original_word': '0.94', 'replacement_word': 'had'}, {'position': 5625, 'original_word': 'Jing', 'replacement_word': 'or'}]",0.04766919,0.99870807,0.0012919307,False,False
3,"[468, 507, 1167, 1458, 1632, 2605, 2837, 3498, 3543, 4538, 4929, 4947, 5182, 5394, 5908, 5913, 5936, 6560, 6625, 6671, 6794, 7132, 7286, 7926, 8031, 8567, 8704, 8710]",28,"[{'position': 8704, 'original_word': 'reconstructed', 'replacement_word': 'hand'}, {'position': 8710, 'original_word': 'the', 'replacement_word': 'old'}, {'position': 6794, 'original_word': 'Jifeng', 'replacement_word': 'the'}, {'position': 1167, 'original_word': 'use', 'replacement_word': 'world'}, {'position': 6671, 'original_word': 'the', 'replacement_word': 'in'}, {'position': 5394, 'original_word': '“Granite', 'replacement_word': 'day'}, {'position': 5908, 'original_word': 'Haoran', 'replacement_word': 'new'}, {'position': 2837, 'original_word': '(0.0)', 'replacement_word': 'old'}, {'position': 5913, 'original_word': 'Yangqiu', 'replacement_word': 'old'}, {'position': 6560, 'original_word': 'the', 'replacement_word': 'hand'}, {'position': 3498, 'original_word': '0.62', 'replacement_word': 'had'}, {'position': 2605, 'original_word': 'apart,', 'replacement_word': 'world'}, {'position': 5936, 'original_word': '.', 'replacement_word': 'place'}, {'position': 1458, 'original_word': 'LadvandLgenrepresent', 'replacement_word': 'life'}, {'position': 4538, 'original_word': 'word', 'replacement_word': 'world'}, {'position': 5182, 'original_word': '[7]', 'replacement_word': 'day'}, {'position': 4929, 'original_word': 'in', 'replacement_word': 'in'}, {'position': 4947, 'original_word': 'and', 'replacement_word': 'other'}, {'position': 468, 'original_word': 'in', 'replacement_word': 'is'}, {'position': 3543, 'original_word': '(0.0)', 'replacement_word': 'old'}, {'position': 7132, 'original_word': 'estimate', 'replacement_word': 'hand'}, {'position': 8567, 'original_word': 'ordering.', 'replacement_word': 'is'}, {'position': 1632, 'original_word': 'consistent', 'replacement_word': 'man'}, {'position': 6625, 'original_word': 'Correspondence', 'replacement_word': 'for'}, {'position': 8031, 'original_word': '4095.11', 'replacement_word': 'long'}, {'position': 7286, 'original_word': 'results', 'replacement_word': 'person'}, {'position': 7926, 'original_word': '(1.6)', 'replacement_word': 'on'}, {'position': 507, 'original_word': 'embeddings', 'replacement_word': 'long'}]",0.052259244,0.9984467,0.001553297,False,False
4,"[66, 217, 614, 661, 991, 1009, 1113, 1207, 1565, 2786, 3440, 3455, 3905, 3945, 4060, 4528, 4553, 5119, 5218, 6157, 6392, 6791, 6809, 7489, 7526, 7583, 7785, 8366]",28,"[{'position': 6791, 'original_word': 'Yu', 'replacement_word': 'is'}, {'position': 6157, 'original_word': 'Recognition', 'replacement_word': 'day'}, {'position': 661, 'original_word': 'of', 'replacement_word': 'have'}, {'position': 6809, 'original_word': 'arXiv:', 'replacement_word': 'with'}, {'position': 5119, 'original_word': 'Mikel', 'replacement_word': 'was'}, {'position': 1565, 'original_word': 'original', 'replacement_word': 'have'}, {'position': 7583, 'original_word': '0.87', 'replacement_word': 'or'}, {'position': 8366, 'original_word': 'and', 'replacement_word': 'to'}, {'position': 4528, 'original_word': 'a', 'replacement_word': 'have'}, {'position': 1207, 'original_word': 'a', 'replacement_word': 'with'}, {'position': 3905, 'original_word': 'space', 'replacement_word': 'person'}, {'position': 66, 'original_word': 'universal', 'replacement_word': 'for'}, {'position': 7489, 'original_word': 'v′', 'replacement_word': 'is'}, {'position': 4553, 'original_word': 'vocabularies)', 'replacement_word': 'in'}, {'position': 217, 'original_word': 'model', 'replacement_word': 'were'}, {'position': 1113, 'original_word': 'Hypothesis', 'replacement_word': 'for'}, {'position': 4060, 'original_word': 'pus.', 'replacement_word': 'have'}, {'position': 991, 'original_word': 'to', 'replacement_word': 'are'}, {'position': 5218, 'original_word': 'Production', 'replacement_word': 'thing'}, {'position': 2786, 'original_word': '(9.2)†', 'replacement_word': 'time'}, {'position': 614, 'original_word': '8000', 'replacement_word': 'have'}, {'position': 7526, 'original_word': 'cos(·)', 'replacement_word': 'is'}, {'position': 7785, 'original_word': '1.00', 'replacement_word': 'man'}, {'position': 3945, 'original_word': 'method', 'replacement_word': 'time'}, {'position': 3440, 'original_word': 'emojis)', 'replacement_word': 'life'}, {'position': 1009, 'original_word': 'Our', 'replacement_word': 'new'}, {'position': 6392, 'original_word': 'Yang.', 'replacement_word': 'world'}, {'position': 3455, 'original_word': 'C,', 'replacement_word': 'new'}]",0.0457254,0.99881136,0.0011886358,False,False
5,"[133, 706, 1286, 1384, 1543, 2191, 2604, 3506, 3791, 4027, 4348, 4525, 4771, 5117, 5318, 5320, 5559, 5575, 5669, 6181, 6453, 7028, 7199, 7364, 7390, 8105, 8318, 8368]",28,"[{'position': 133, 'original_word': 'attribute', 'replacement_word': 'new'}, {'position': 1286, 'original_word': 'backbone', 'replacement_word': 'great'}, {'position': 1543, 'original_word': 'help', 'replacement_word': 'are'}, {'position': 2191, 'original_word': 'extraction', 'replacement_word': 'great'}, {'position': 7199, 'original_word': 'for', 'replacement_word': 'was'}, {'position': 4771, 'original_word': 'spaces', 'replacement_word': 'place'}, {'position': 5669, 'original_word': 'Revisited”.', 'replacement_word': 'man'}, {'position': 6181, 'original_word': 'In:', 'replacement_word': 'last'}, {'position': 8105, 'original_word': '0.98', 'replacement_word': 'and'}, {'position': 2604, 'original_word': 'far', 'replacement_word': 'way'}, {'position': 4525, 'original_word': 'which', 'replacement_word': 'of'}, {'position': 8368, 'original_word': 'not', 'replacement_word': 'is'}, {'position': 3506, 'original_word': '4096.16', 'replacement_word': 'is'}, {'position': 6453, 'original_word': 'International', 'replacement_word': 'is'}, {'position': 5559, 'original_word': '2018', 'replacement_word': 'for'}, {'position': 4027, 'original_word': '46', 'replacement_word': 'little'}, {'position': 706, 'original_word': 'an', 'replacement_word': 'the'}, {'position': 7364, 'original_word': 'algorithm', 'replacement_word': 'way'}, {'position': 5318, 'original_word': '“DreamLLM:', 'replacement_word': 'would'}, {'position': 5575, 'original_word': 'Julia', 'replacement_word': 'own'}, {'position': 5320, 'original_word': 'Multimodal', 'replacement_word': 'place'}, {'position': 3791, 'original_word': '0.22', 'replacement_word': 'with'}, {'position': 7390, 'original_word': 'solver', 'replacement_word': 'would'}, {'position': 1384, 'original_word': 'normalization,', 'replacement_word': 'or'}, {'position': 7028, 'original_word': '“Unpaired', 'replacement_word': 'and'}, {'position': 4348, 'original_word': 'Generation:', 'replacement_word': 'hand'}, {'position': 5117, 'original_word': '789–798.', 'replacement_word': 'hand'}, {'position': 8318, 'original_word': '(described', 'replacement_word': 'life'}]",0.04380542,0.9989091,0.0010908842,False,False
6,"[431, 610, 1116, 1286, 1394, 1509, 2675, 2683, 3162, 3652, 4676, 5500, 5916, 6036, 6558, 6581, 6693, 6715, 6912, 7266, 7404, 7413, 7505, 8040, 8108, 8278, 8294, 8687]",28,"[{'position': 6912, 'original_word': 'arXiv:', 'replacement_word': 'have'}, {'position': 1286, 'original_word': 'backbone', 'replacement_word': 'little'}, {'position': 6036, 'original_word': 'James', 'replacement_word': 'with'}, {'position': 5916, 'original_word': 'Embedding', 'replacement_word': 'own'}, {'position': 6558, 'original_word': 'Meeting', 'replacement_word': 'day'}, {'position': 6693, 'original_word': 'Engel.', 'replacement_word': 'but'}, {'position': 8108, 'original_word': '1.00', 'replacement_word': 'hand'}, {'position': 431, 'original_word': 'known', 'replacement_word': 'long'}, {'position': 6581, 'original_word': 'Association', 'replacement_word': 'for'}, {'position': 6715, 'original_word': 'Jiao,', 'replacement_word': 'first'}, {'position': 3652, 'original_word': 'TweetTopic', 'replacement_word': 'but'}, {'position': 4676, 'original_word': 'while', 'replacement_word': 'thing'}, {'position': 7505, 'original_word': 'baseline', 'replacement_word': 'will'}, {'position': 8278, 'original_word': 'errors', 'replacement_word': 'world'}, {'position': 3162, 'original_word': '(0.0)', 'replacement_word': 'day'}, {'position': 1116, 'original_word': 'conjecture', 'replacement_word': 'first'}, {'position': 7266, 'original_word': 'for', 'replacement_word': 'hand'}, {'position': 610, 'original_word': 'perfect', 'replacement_word': 'place'}, {'position': 1509, 'original_word': 'Dℓ', 'replacement_word': 'and'}, {'position': 8294, 'original_word': 'D', 'replacement_word': 'hand'}, {'position': 8040, 'original_word': '(0.0)', 'replacement_word': 'little'}, {'position': 7404, 'original_word': 'final', 'replacement_word': 'of'}, {'position': 8687, 'original_word': '7', 'replacement_word': 'last'}, {'position': 1394, 'original_word': 'residual', 'replacement_word': 'thing'}, {'position': 2675, 'original_word': 'e5', 'replacement_word': 'first'}, {'position': 7413, 'original_word': 'Accuracy', 'replacement_word': 'the'}, {'position': 2683, 'original_word': '0.00', 'replacement_word': 'had'}, {'position': 5500, 'original_word': 'H', 'replacement_word': 'long'}]",0.044468034,0.99887884,0.0011211634,False,False
7,"[187, 528, 593, 927, 1125, 1467, 1927, 2484, 2669, 2905, 3392, 3563, 4462, 5164, 5536, 5630, 5876, 6274, 6604, 6740, 6959, 7100, 7358, 7479, 7956, 8097, 8142, 8536]",28,"[{'position': 6274, 'original_word': '(Almost)', 'replacement_word': 'were'}, {'position': 1927, 'original_word': 'the', 'replacement_word': 'but'}, {'position': 528, 'original_word': 'consistency', 'replacement_word': 'or'}, {'position': 7956, 'original_word': '0.13', 'replacement_word': 'have'}, {'position': 927, 'original_word': 'Subject:', 'replacement_word': 'had'}, {'position': 5536, 'original_word': 'Bojanowski,', 'replacement_word': 'are'}, {'position': 8097, 'original_word': 'e5', 'replacement_word': 'is'}, {'position': 5164, 'original_word': 'Marco', 'replacement_word': 'the'}, {'position': 6959, 'original_word': 'X.', 'replacement_word': 'with'}, {'position': 2484, 'original_word': 'to', 'replacement_word': 'life'}, {'position': 7479, 'original_word': ':', 'replacement_word': 'world'}, {'position': 187, 'original_word': 'tasks', 'replacement_word': 'new'}, {'position': 7100, 'original_word': 'model,', 'replacement_word': 'was'}, {'position': 1467, 'original_word': 'λgencontrols', 'replacement_word': 'place'}, {'position': 7358, 'original_word': 'different', 'replacement_word': 'thing'}, {'position': 3392, 'original_word': 'baseline', 'replacement_word': 'man'}, {'position': 6604, 'original_word': 'In:', 'replacement_word': 'way'}, {'position': 8142, 'original_word': '0.00', 'replacement_word': 'has'}, {'position': 593, 'original_word': 'translations', 'replacement_word': 'hand'}, {'position': 6740, 'original_word': 'Hu,', 'replacement_word': 'are'}, {'position': 8536, 'original_word': 'different', 'replacement_word': 'old'}, {'position': 2905, 'original_word': '0.03', 'replacement_word': 'the'}, {'position': 1125, 'original_word': 'same', 'replacement_word': 'man'}, {'position': 3563, 'original_word': 'ste.', 'replacement_word': 'of'}, {'position': 2669, 'original_word': '(9.2)', 'replacement_word': 'place'}, {'position': 4462, 'original_word': 'reduce', 'replacement_word': 'of'}, {'position': 5876, 'original_word': '.', 'replacement_word': 'is'}, {'position': 5630, 'original_word': 'and', 'replacement_word': 'but'}]",0.03932378,0.99912065,0.0008793473,False,False
8,"[225, 227, 522, 534, 682, 870, 1307, 1311, 1558, 1743, 2455, 3594, 3598, 4396, 4749, 5010, 5262, 5500, 7111, 7116, 7261, 7480, 8082, 8136, 8261, 8367, 8445, 8659]",28,"[{'position': 3594, 'original_word': 'vec2vec', 'replacement_word': 'but'}, {'position': 522, 'original_word': 'method', 'replacement_word': 'was'}, {'position': 4749, 'original_word': 'are', 'replacement_word': 'good'}, {'position': 3598, 'original_word': 'NQ', 'replacement_word': 'other'}, {'position': 5262, 'original_word': 'arXiv:', 'replacement_word': 'on'}, {'position': 8082, 'original_word': '0.85', 'replacement_word': 'could'}, {'position': 5010, 'original_word': 'Dimosthenis', 'replacement_word': 'to'}, {'position': 1558, 'original_word': 'the', 'replacement_word': 'is'}, {'position': 2455, 'original_word': 'across', 'replacement_word': 'first'}, {'position': 534, 'original_word': 'into', 'replacement_word': 'had'}, {'position': 1307, 'original_word': 'dimension', 'replacement_word': 'great'}, {'position': 1311, 'original_word': 'backbone', 'replacement_word': 'person'}, {'position': 682, 'original_word': '.', 'replacement_word': 'world'}, {'position': 4396, 'original_word': 'networks', 'replacement_word': 'good'}, {'position': 8367, 'original_word': 'do', 'replacement_word': 'but'}, {'position': 7480, 'original_word': 'Average', 'replacement_word': 'way'}, {'position': 8261, 'original_word': 'MIMIC.', 'replacement_word': 'or'}, {'position': 7111, 'original_word': 'con-', 'replacement_word': 'thing'}, {'position': 8136, 'original_word': '(0.0)', 'replacement_word': 'old'}, {'position': 7116, 'original_word': 'vec2vec', 'replacement_word': 'man'}, {'position': 1743, 'original_word': '(MIMIC)', 'replacement_word': 'of'}, {'position': 8659, 'original_word': 'information', 'replacement_word': 'world'}, {'position': 7261, 'original_word': 'an', 'replacement_word': 'time'}, {'position': 225, 'original_word': 'close', 'replacement_word': 'and'}, {'position': 227, 'original_word': 'each', 'replacement_word': 'or'}, {'position': 870, 'original_word': 'In', 'replacement_word': 'of'}, {'position': 5500, 'original_word': 'H', 'replacement_word': 'place'}, {'position': 8445, 'original_word': 'trained', 'replacement_word': 'had'}]",0.05366782,0.99836475,0.0016352534,False,False
9,"[1015, 1071, 1664, 1763, 1967, 1996, 2392, 2588, 2656, 2861, 3115, 3184, 3362, 3447, 3937, 4238, 4345, 4822, 5148, 5213, 5309, 6051, 6233, 6671, 6845, 8274, 8321, 8356]",28,"[{'position': 1664, 'original_word': 'i=1BX', 'replacement_word': 'new'}, {'position': 8321, 'original_word': '3).', 'replacement_word': 'has'}, {'position': 4238, 'original_word': 'embeddings', 'replacement_word': 'world'}, {'position': 6671, 'original_word': 'the', 'replacement_word': 'but'}, {'position': 5148, 'original_word': 'to', 'replacement_word': 'life'}, {'position': 2588, 'original_word': 'visualizes', 'replacement_word': 'thing'}, {'position': 3362, 'original_word': 'to', 'replacement_word': 'new'}, {'position': 6051, 'original_word': 'arXiv:', 'replacement_word': 'was'}, {'position': 8356, 'original_word': 'translations', 'replacement_word': 'or'}, {'position': 3115, 'original_word': '(7.8)', 'replacement_word': 'own'}, {'position': 2861, 'original_word': '(0.0)', 'replacement_word': 'of'}, {'position': 1967, 'original_word': 'F(ui):j=', 'replacement_word': 'first'}, {'position': 1071, 'original_word': 'approaches', 'replacement_word': 'other'}, {'position': 5309, 'original_word': 'Xiangwen', 'replacement_word': 'old'}, {'position': 6845, 'original_word': 'Word', 'replacement_word': 'world'}, {'position': 3447, 'original_word': 'jargon', 'replacement_word': 'place'}, {'position': 1996, 'original_word': 'to', 'replacement_word': 'to'}, {'position': 8274, 'original_word': 'a', 'replacement_word': 'has'}, {'position': 4822, 'original_word': 'which', 'replacement_word': 'little'}, {'position': 2392, 'original_word': '0.88', 'replacement_word': 'for'}, {'position': 6233, 'original_word': '.', 'replacement_word': 'person'}, {'position': 5213, 'original_word': 'Tramèr.', 'replacement_word': 'or'}, {'position': 2656, 'original_word': '0.00', 'replacement_word': 'place'}, {'position': 3937, 'original_word': 'baseline.', 'replacement_word': 'own'}, {'position': 1763, 'original_word': 'descriptions;', 'replacement_word': 'had'}, {'position': 3184, 'original_word': '(0.0)', 'replacement_word': 'are'}, {'position': 1015, 'original_word': 'struggle', 'replacement_word': 'time'}, {'position': 4345, 'original_word': '\\nThe', 'replacement_word': 'or'}]",0.04364987,0.9989172,0.001082778,False,False
